
Quick Sort
(50000, 6)
(100000, 13)
(150000, 21)
(200000, 31)
(250000, 38)
(300000, 45)
(350000, 59)
(400000, 66)
(450000, 74)
(500000, 79)
(550000, 88)
(600000, 103)
(650000, 107)
(700000, 114)
(750000, 127)
(800000, 138)
(850000, 146)
(900000, 150)
(950000, 164)
(1000000, 174)

Merge Sort
(50000, 8)
(100000, 20)
(150000, 27)
(200000, 37)
(250000, 47)
(300000, 59)
(350000, 71)
(400000, 78)
(450000, 87)
(500000, 98)
(550000, 110)
(600000, 121)
(650000, 136)
(700000, 147)
(750000, 149)
(800000, 161)
(850000, 172)
(900000, 188)
(950000, 197)
(1000000, 203)

Heap Sort
(50000, 13)
(100000, 30)
(150000, 45)
(200000, 62)
(250000, 87)
(300000, 107)
(350000, 118)
(400000, 134)
(450000, 157)
(500000, 173)
(550000, 196)
(600000, 225)
(650000, 242)
(700000, 256)
(750000, 299)
(800000, 294)
(850000, 314)
(900000, 351)
(950000, 356)
(1000000, 395)
